Code,Description
WSF2 , Fastest 2-minute wind speed
WSF5 , Fastest 5-second wind speed
SNOW , Snowfall
WT03 , Thunder
WT04 ," Ice pellets, sleet, snow pellets, or small hail"""
PRCP , Precipitation
WT05 , Hail (may include small hail)
WT06 , Glaze or rime
WT08 , Smoke or haze
SNWD , Snow depth
WT09 , Blowing or drifting snow
WDF2 , Direction of fastest 2-minute wind
AWND , Average wind speed
WDF5 , Direction of fastest 5-second wind
PGTM , Peak gust time
WT01 ," Fog, ice fog, or freezing fog (may include heavy fog)"
TMAX , Maximum temperature
WT02 , Heavy fog or heaving freezing fog (not always distinguished from fog)
TAVG , Average Temperature.
TMIN , Minimum temperature
TSUN , Total sunshine for the period
